# Generated at 11/03/2021 12:14:23. For help see https://bit.ly/2HO2uz4
# URL: https://metaspace2020.eu/annotations?db_id=26&prj=508c87a0-8a2f-11ea-b3af-ebea8dc2948c&ds=2021-02-04_17h49m19s&fdr=0.2
"group","datasetName","datasetId","formula","adduct","mz","msm","fdr","rhoSpatial","rhoSpectral","rhoChaos","moleculeNames","moleculeIds","minIntensity","maxIntensity","totalIntensity","offSample","rawOffSampleProb","isomerIons","isobarIons"
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C24H50NO7P","M+H","496.33972664966376","0.9423","0.05","0.951205","0.991153","0.999481","PE(19:0/0:0), PC(O-14:0/2:0), PE(O-13:0/6:0), PE(O-16:0/3:0), PC(16:0/0:0), PC(0:0/16:0), PC(O-13:0/3:0), PE(O-15:0/4:0), PE(O-17:0/2:0), PE(0:0/19:0)","SLM:000030170, SLM:000028481, SLM:000028651, SLM:000029617, SLM:000000556, SLM:000014208, SLM:000027221, SLM:000028882, SLM:000029121, SLM:000043356","0","41262828","137042067456","false","0.00006492382090073079","",""
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C26H54NO7P","M+H","524.3710267776694","0.891991","0.05","0.904488","0.986709","0.999467","PC(0:0/18:0), PC(O-14:0/4:0), PE(O-15:0/6:0), PE(O-18:0/3:0), PE(21:0/0:0), PE(O-17:0/4:0), PC(18:0/0:0), PC(O-16:0/2:0), PE(O-13:0/8:0), PE(0:0/21:0), PC(O-15:0/3:0)","SLM:000014212, SLM:000028482, SLM:000028891, SLM:000029777, SLM:000030166, SLM:000029122, SLM:000000670, SLM:000000698, SLM:000028655, SLM:000043351, SLM:000027461","0","13777756","44353208320","false","0.00014239219308365136","","C26H51NO9+H+"
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C24H50NO7P","M+Na","518.3216712776695","0.874691","0.05","0.88662","0.987213","0.999324","PE(19:0/0:0), PC(O-14:0/2:0), PE(O-13:0/6:0), PE(O-16:0/3:0), PC(16:0/0:0), PC(0:0/16:0), PC(O-13:0/3:0), PE(O-15:0/4:0), PE(O-17:0/2:0), PE(0:0/19:0)","SLM:000030170, SLM:000028481, SLM:000028651, SLM:000029617, SLM:000000556, SLM:000014208, SLM:000027221, SLM:000028882, SLM:000029121, SLM:000043356","0","11395339","73702834176","false","0.00009657055488787591","","C26H48NO7P+H+"
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C42H82NO8P","M+H","760.5850422936694","0.86527","0.05","0.876972","0.987035","0.999616","PC(18:0/16:1(6Z)), PE(13:0/24:1(15Z)), PE(21:0/16:1(6Z)), PE(19:0/18:1(11Z)), PC(16:0/18:1(11E)), PE(15:0/22:1(13Z)), PE(18:1(6Z)/19:0), PC(18:1(11Z)/16:0), PE(19:0/18:1(11E)), PC(16:1(6Z)/18:0), PE(16:1(6Z)/21:0), PE(17:0/20:1(11Z)), PC(10:0/24:1(15Z)), PC(18:1(9Z)/16:0), PE(18:1(9Z)/19:0), PE(19:0/18:1(9Z)), PC(16:0/18:1(9Z)), PC(20:0/14:1(9Z)), PE(24:1(15Z)/13:0), PE(15:0/22:1(13Z)), PC(26:1(17Z)/8:0), PC(18:1(6Z)/16:0), PE(20:1(11Z)/17:0), PE(13:0/24:1(15Z)), PC(20:1(11Z)/14:0), PC(16:1(9Z)/18:0), PE(17:0/20:1(11Z)), PC(24:1(15Z)/10:0), PE(24:1(15Z)/13:0), PE(21:0/16:1(9Z)), PC(16:0/18:1(11Z)), PE(18:1(11E)/19:0), PE(19:0/18:1(6Z)), PE(22:1(13Z)/15:0), PC(22:1(13Z)/12:0), PC(18:0/16:1(9Z)), PC(8:0/26:1(17Z)), PE(20:1(11Z)/17:0), PE(22:1(13Z)/15:0), PE(16:1(9Z)/21:0), PC(16:0/18:1(6Z)), PC(18:1(11E)/16:0), PC(14:1(9Z)/20:0), PC(14:0/20:1(11Z)), PE(18:1(11Z)/19:0), PC(12:0/22:1(13Z))","SLM:000013554, SLM:000030517, SLM:000035437, SLM:000035796, SLM:000013209, SLM:000031223, SLM:000033646, SLM:000008618, SLM:000035789, SLM:000011150, SLM:000033562, SLM:000035483, SLM:000012677, SLM:000000657, SLM:000034752, SLM:000035843, SLM:000000651, SLM:000012949, SLM:000031922, SLM:000036119, SLM:000009887, SLM:000011225, SLM:000030909, SLM:000036519, SLM:000008548, SLM:000012256, SLM:000031690, SLM:000009559, SLM:000031996, SLM:000035451, SLM:000013216, SLM:000030486, SLM:000035829, SLM:000031536, SLM:000009166, SLM:000013568, SLM:000013615, SLM:000030956, SLM:000031596, SLM:000034668, SLM:000013247, SLM:000008065, SLM:000012403, SLM:000013914, SLM:000031039, SLM:000012830","0","334989056","1478285459456","false","0.001277411705814302","",""
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C38H76NO8P","M+H","706.5380921016693","0.859631","0.05","0.877764","0.979744","0.999591","PE(16:0/17:0), PC(13:0/17:0), PC(12:0/18:0), PC(14:0/16:0), PC(4:0/26:0), PC(13:0/17:0), PE(20:0/13:0), PC(15:0/15:0), PC(18:0/12:0), PE(21:0/12:0), PC(26:0/4:0), PC(28:0/2:0), PE(17:0/16:0), PC(2:0/28:0), PC(20:0/10:0), PC(15:0/15:0), PC(16:0/14:0), PE(12:0/21:0), PE(19:0/14:0), PE(3:0/30:0), PE(30:0/3:0), PC(13:0/17:0), PC(10:0/20:0), PC(6:0/24:0), PE(13:0/20:0), PE(14:0/19:0), PC(17:0/13:0), PC(22:0/8:0), PC(8:0/22:0), PC(24:0/6:0), PE(20:0/13:0), PE(13:0/20:0), PC(15:0/15:0), PE(17:0/16:0), PE(15:0/18:0), PC(17:0/13:0), PC(17:0/13:0), PE(15:0/18:0), PE(16:0/17:0), PC(15:0/15:0), PC(13:0/17:0), PE(18:0/15:0), PE(18:0/15:0), PC(17:0/13:0)","SLM:000035694, SLM:000008142, SLM:000012883, SLM:000000692, SLM:000012642, SLM:000014081, SLM:000035320, SLM:000012491, SLM:000013573, SLM:000035458, SLM:000013187, SLM:000013492, SLM:000035541, SLM:000012567, SLM:000012952, SLM:000013681, SLM:000000711, SLM:000035301, SLM:000035862, SLM:000036258, SLM:000036493, SLM:000008095, SLM:000012718, SLM:000013350, SLM:000030559, SLM:000036409, SLM:000009340, SLM:000012806, SLM:000013651, SLM:000013895, SLM:000035394, SLM:000036561, SLM:000008861, SLM:000031748, SLM:000036174, SLM:000013126, SLM:000013052, SLM:000031278, SLM:000035651, SLM:000012432, SLM:000014128, SLM:000035957, SLM:000036017, SLM:000009266","0","13932978","97480605696","false","0.0014013653853908181","",""
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C26H52NO7P","M+H","522.3553767136694","0.858651","0.05","0.871709","0.985692","0.999319","PC(0:0/18:1(6Z)), PC(18:1(11E)/0:0), PC(P-16:0/2:0), PC(18:1(9Z)/0:0), PC(P-15:0/3:0), PE(O-18:1(13Z)/3:0), PE(P-18:0/3:0), PC(18:1(6Z)/0:0), PC(0:0/18:1(9Z)), PC(P-14:0/4:0), PE(P-13:0/8:0), PC(18:1(11Z)/0:0), PE(O-18:1(9Z)/3:0), PC(0:0/18:1(11E)), PC(0:0/18:1(11Z)), PE(P-15:0/6:0), PE(O-18:1(11Z)/3:0), PE(P-17:0/4:0)","SLM:000014183, SLM:000020704, SLM:000048907, SLM:000389824, SLM:000048203, SLM:000029057, SLM:000050561, SLM:000020744, SLM:000014197, SLM:000049228, SLM:000049439, SLM:000020711, SLM:000029297, SLM:000014144, SLM:000014151, SLM:000049675, SLM:000028817, SLM:000049906","0","10975065","44280606720","false","0.00043340687989257276","",""
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C27H52NO8P","M+H","550.3502913336696","0.830956","0.05","0.84401","0.985347","0.999175","PE(18:1(9Z)/4:0), PE(6:0/16:1(9Z)), PC(16:1(9Z)/3:0), PE(6:0/16:1(6Z)), PC(16:1(6Z)/3:0), PC(3:0/16:1(6Z)), PC(3:0/16:1(9Z)), PE(18:1(6Z)/4:0), PE(8:0/14:1(9Z)), PE(20:1(11Z)/2:0), PE(16:1(6Z)/6:0), PE(16:1(9Z)/6:0), PE(18:1(11E)/4:0), PE(4:0/18:1(11Z)), PE(18:1(11Z)/4:0), PE(14:1(9Z)/8:0), PE(4:0/18:1(9Z)), PE(4:0/18:1(6Z)), PE(2:0/20:1(11Z)), PE(4:0/18:1(11E))","SLM:000034742, SLM:000035763, SLM:000012259, SLM:000035749, SLM:000011153, SLM:000013789, SLM:000013803, SLM:000033636, SLM:000036081, SLM:000030949, SLM:000033566, SLM:000034672, SLM:000030476, SLM:000035010, SLM:000031029, SLM:000034834, SLM:000035057, SLM:000035043, SLM:000034930, SLM:000035003","0","8360378","42595741696","false","0.00025791345979087055","",""
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C25H49NO4","M+H","428.3733962676638","0.828788","0.05","0.844276","0.982176","0.99947","O-octadecanoyl-(R)-carnitine","SLM:000390019","0","12671461","27721046016","false","0.00013814153498969972","",""
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C25H50NO8P","M+H","524.3346412696694","0.816126","0.05","0.82794","0.986405","0.999317","PE(2:0/18:0), PE(3:0/17:0), PE(14:0/6:0), PC(2:0/15:0), PE(6:0/14:0), PE(12:0/8:0), PE(10:0/10:0), PC(2:0/15:0), PC(13:0/4:0), PC(3:0/14:0), PE(16:0/4:0), PC(15:0/2:0), PC(4:0/13:0), PE(17:0/3:0), PE(8:0/12:0), PC(14:0/3:0), PC(13:0/4:0), PE(4:0/16:0), PC(4:0/13:0), PC(15:0/2:0), PE(18:0/2:0), PE(3:0/17:0), PE(17:0/3:0)","SLM:000034992, SLM:000036200, SLM:000036408, SLM:000012510, SLM:000035783, SLM:000035309, SLM:000034902, SLM:000012570, SLM:000008136, SLM:000013823, SLM:000035688, SLM:000008846, SLM:000012654, SLM:000035548, SLM:000036086, SLM:000013979, SLM:000014122, SLM:000035067, SLM:000012580, SLM:000013727, SLM:000036003, SLM:000036247, SLM:000031755","0","8558415","41112432640","false","0.0003078669251408428","",""
"Hochschule Mannheim","positive-XIII-82492-recalibrated","2021-02-04_17h49m19s","C40H80NO8P","M+H","734.5693922296695","0.801723","0.05","0.813924","0.985419","0.999584","PC(15:0/17:0), PE(16:0/19:0), PE(17:0/18:0), PC(17:0/15:0), PC(6:0/26:0), PC(15:0/17:0), PE(19:0/16:0), PE(18:0/17:0), PE(15:0/20:0), PC(13:0/19:0), PC(2:0/30:0), PC(20:0/12:0), PC(18:0/14:0), PC(30:0/2:0), PE(22:0/13:0), PE(21:0/14:0), PC(12:0/20:0), PC(26:0/6:0), PE(22:0/13:0), PC(17:0/15:0), PC(24:0/8:0), PC(22:0/10:0), PC(19:0/13:0), PC(8:0/24:0), PC(13:0/19:0), PC(15:0/17:0), PC(10:0/22:0), PE(17:0/18:0), PE(13:0/22:0), PC(16:0/16:0), PC(19:0/13:0), PC(17:0/15:0), PE(13:0/22:0), PE(14:0/21:0), PC(15:0/17:0), PC(4:0/28:0), PC(17:0/15:0), PE(15:0/20:0), PE(20:0/15:0), PC(14:0/18:0), PE(20:0/15:0), PE(18:0/17:0), PC(28:0/4:0)","SLM:000013687, SLM:000035697, SLM:000031752, SLM:000009335, SLM:000013342, SLM:000013734, SLM:000035854, SLM:000035963, SLM:000036166, SLM:000008146, SLM:000012574, SLM:000012954, SLM:000013586, SLM:000014042, SLM:000035236, SLM:000035471, SLM:000012876, SLM:000013195, SLM:000035162, SLM:000013061, SLM:000013899, SLM:000012795, SLM:000013432, SLM:000013664, SLM:000014132, SLM:000008806, SLM:000012716, SLM:000035545, SLM:000036559, SLM:000000505, SLM:000013358, SLM:000009275, SLM:000030557, SLM:000036404, SLM:000008853, SLM:000012646, SLM:000013121, SLM:000031270, SLM:000035329, SLM:000013976, SLM:000035389, SLM:000036010, SLM:000013493","0","83801472","461210419200","false","0.0008543182630091906","",""
