Lipid ID	Level	Name	Abbreviation*	Synonyms*	Lipid class*	Parent	Components*	SMILES (pH7.3)	InChI (pH7.3)	InChI key (pH7.3)	Formula (pH7.3)	Charge (pH7.3)	Mass (pH7.3)	Exact Mass (neutral form)	Exact m/z of [M.]+	Exact m/z of [M+H]+	Exact m/z of [M+K]+	Exact m/z of [M+Na]+	Exact m/z of [M+Li]+	Exact m/z of [M+NH4]+	Exact m/z of [M-H]-	Exact m/z of [M+Cl]-	Exact m/z of [M+OAc]-	CHEBI	LIPID MAPS	HMDB	PMID
SLM:000001105	Species	octadecatetraenoate	FA(18:4)	fatty acid (18:4)	SLM:000389801			[O-]C([*])=O	InChI=none	none	C18H27O2	-1	275.4063	276.20893	276.208382	277.216207	315.172088	299.198151	283.224386	294.242756	275.201654	311.178331	335.222783	78050			
SLM:000001251	Species	fatty acid (3:0)	FA(3:0)		SLM:000389800			[O-]C([*])=O	InChI=none	none	C3H5O2	-1	73.0711	74.036779	74.036231	75.044056	112.999938	97.026001	81.052235	92.070605	73.029503	109.006181	133.050632	78113			
SLM:000001252	Species	fatty acid (4:0)	FA(4:0)		SLM:000389800			[O-]C([*])=O	InChI=none	none	C4H7O2	-1	87.0977	88.05243	88.051881	89.059706	127.015588	111.041651	95.067885	106.086255	87.045153	123.021831	147.066282	78115			
SLM:000001253	Species	hexanoate	FA(6:0)	fatty acid (6:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C6H11O2	-1	115.1509	116.08373	116.083181	117.091006	155.046888	139.072951	123.099185	134.117555	115.076453	151.053131	175.097583	78116			
SLM:000001254	Species	octanoate	FA(8:0)	fatty acid (8:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C8H15O2	-1	143.204	144.11503	144.114481	145.122306	183.078188	167.104251	151.130485	162.148855	143.107753	179.084431	203.128883	78117			
SLM:000001255	Species	decanoate	FA(10:0)	fatty acid (10:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C10H19O2	-1	171.2572	172.14633	172.145781	173.153606	211.109488	195.135551	179.161785	190.180155	171.139053	207.115731	231.160183	78118			
SLM:000001256	Species	dodecanoate	FA(12:0)	fatty acid (12:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C12H23O2	-1	199.3104	200.17763	200.177081	201.184907	239.140788	223.166851	207.193086	218.211456	199.170354	235.147031	259.191483	78119			
SLM:000001257	Species	tridecanoate	FA(13:0)	fatty acid (13:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C13H25O2	-1	213.3369	214.19328	214.192732	215.200557	253.156438	237.182501	221.208736	232.227106	213.186004	249.162681	273.207133	78120			
SLM:000001258	Species	tetradecanoate	FA(14:0)	fatty acid (14:0)	SLM:000389800			[O-]C([*])=O	InChI=none	none	C14H27O2	-1	227.3635	228.20893	228.208382	229.216207	267.172088	251.198151	235.224386	246.242756	227.201654	263.178331	287.222783	78121			
SLM:000001259	Species	tetradecenoate	FA(14:1)	fatty acid (14:1)	SLM:000389821			[O-]C([*])=O	InChI=none	none	C14H25O2	-1	225.3476	226.19328	226.192732	227.200557	265.156438	249.182501	233.208736	244.227106	225.186004	261.162681	285.207133	78896			
